date,provider,battery_version,model_alias,model_reported,overall,math,logic,instructions,code,russian,refusal,stability,latency_p50_ms,errors,n_graded
2026-07-13,cerebras,1,gpt-oss-120b,gpt-oss-120b,0.9722,1.0,1.0,1.0,1.0,0.8333,1.0,,406,0,36
2026-07-13,gemini,1,gemini-3.5-flash,gemini-3.5-flash,,,,,,,,,,36,3
2026-07-13,groq,1,llama-3.3-70b-versatile,llama-3.3-70b-versatile,0.8333,0.8333,1.0,0.6667,0.8333,0.6667,1.0,,599,0,36
2026-07-13,mistral,1,mistral-small-latest,mistral-small-latest,0.8333,0.8333,1.0,0.5,1.0,0.6667,1.0,,859,0,36
2026-07-13,openrouter,1,openai/gpt-oss-120b:free,openai/gpt-oss-120b:free,0.9167,1.0,1.0,0.6667,1.0,0.8333,1.0,,11207,0,36
2026-07-14,cerebras,2,gpt-oss-120b,gpt-oss-120b,,,,,,,,,,31,7
2026-07-14,gemini,2,gemini-3.5-flash,gemini-3.5-flash,,,,,,,,,,17,22
2026-07-14,groq,2,llama-3.3-70b-versatile,llama-3.3-70b-versatile,0.6944,0.8333,1.0,0.1667,0.8333,0.3333,1.0,0.7687,550,0,36
2026-07-14,groq-oss,2,openai/gpt-oss-120b,openai/gpt-oss-120b,0.9167,1.0,1.0,0.8333,1.0,0.6667,1.0,,1030,0,36
2026-07-14,mistral,2,mistral-small-latest,mistral-small-latest,0.7778,0.8333,1.0,0.1667,1.0,0.6667,1.0,1.0,1072,0,36
2026-07-14,openrouter,2,openai/gpt-oss-120b:free,,,,,,,,,,,39,0
